책이름,저자,출판사,출간일,가격
딥러닝을 위한 최적화와 수치해석,황윤구,남가람북스,2020년 02월,"28,800"
배프의 오지랖 파이썬 웹프로그래밍,배프,디지털북스,2019년 03월,"19,800"
강화학습 첫걸음,아서 줄리아니,한빛미디어,2017년 12월,"16,200"
파이썬으로 배우는 자료 구조 핵심 원리,양태환,길벗,2021년 08월,"19,800"
생명정보학 알고리즘 ,미겔 로샤,에이콘출판사,2020년 10월,"36,000"
파이썬 마스터 1·2급,유성열,명진씨앤피,2021년 11월,"19,800"
인공지능 기초수학,고관표,인피니티북스,2021년 08월,"23,000"
금융 데이터를 위한 파이썬,테리엇,비제이퍼블릭(BJ퍼블릭),2020년 06월,"21,600"
모던 파이썬 입문,아나 벨,길벗,2019년 10월,"23,400"
코드로 배우는 인공지능,장리커,제이펍,2021년 11월,"22,500"
파이썬으로 캐글 뽀개기,Evan,비제이퍼블릭(BJ퍼블릭),2021년 08월,"27,900"
실습하며 배우는 딥러닝 입문 with Kaggle ,장원두,생능출판사,2021년 07월,"29,000"
배워서 바로 써먹는 데이터 분석 with 파이썬,설진욱,생능북스,2022년 04월,"23,400"
파이썬과 함께하는 AI젯봇,아이씨뱅큐,아이씨뱅큐,2021년 05월,"22,500"
데이터를 다루며 배우는 파이썬,찰스 세브란스,인사이트(insight),2019년 08월,"16,200"
웹 브라우저 속 머신러닝 TensorFlow.js,카이 사사키,한빛미디어,2021년 09월,"22,500"
파이썬을 활용한 생명정보학 2/e,티아구 안타오,에이콘출판사,2019년 12월,"32,400"
프로그래머를 위한 베이지안 with 파이썬,캐머런 데이비슨 필론,길벗,2017년 11월,"24,300"
딥러닝 개념과 활용,김의중,미리어드스페이스,2021년 04월,"31,500"
파이썬 데이터 분석 입문,클린턴 브라운리,한빛미디어,2017년 10월,"24,300"
연오의 파이썬,박연오,인사이트(insight),2020년 12월,"17,820"
파이썬 정복 ,김상형,한빛미디어,2018년 04월,"19,800"
파이썬 해킹 입문,조성문,프리렉,2014년 12월,"20,700"
파이썬 네트워크 자동화,최병철,에이콘출판사,2019년 07월,"40,500"
스타트 파이썬,황재호,인포앤북,2022년 02월,"18,900"
효율적 개발로 이끄는 파이썬 실천 기술,스야마 레이,제이펍,2021년 04월,"19,800"
혼자 공부하는 파이썬,윤인성,한빛미디어,2022년 06월,"19,800"
파이썬을 활용한 딥러닝 전이학습,디파니안 사르카르,위키북스,2019년 10월,"27,000"
파이썬이 보이는 그림책,"ANK Co., Ltd.",성안당,2021년 11월,"16,200"
파이썬 OpenCV를 이용한 영상처리,허진경,BOOKK(부크크),2021년 09월,"25,000"
수학으로 이해하는 머신러닝 원리,가토 기미카즈,루비페이퍼,2021년 06월,"27,000"
파이썬으로 코딩하는 물리,송오영,21세기사,2021년 03월,"29,000"
데이터 사이언스 교과서,하시모토 히로시,성안당,2020년 10월,"22,500"
딥러닝과 바둑,막스 펌펄라,한빛미디어,2020년 06월,"32,400"
파이썬으로 배우는 딥러닝 교과서,이시카와 아키히코,한빛미디어,2020년 03월,"34,200"
Django 한 그릇 뚝딱,문범우,비제이퍼블릭(BJ퍼블릭),2019년 11월,"25,200"
골빈해커의 3분 딥러닝,(골빈해커)김진중,한빛미디어,2017년 09월,"19,800"
파이썬으로 배우는 블록체인 구조와 이론,조성현,위키북스,2019년 05월,"24,300"
지능 기반 의료를 위한 헬스케어 애널리틱스,비카스 쿠마르,에이콘출판사,2021년 11월,"27,000"
다이내믹 프로그래밍 완전 정복,미나크시,한빛미디어,2019년 10월,"16,200"
창의적 컴퓨팅,한양대학교 소프트웨어교육위원회,한양대학교출판부,2021년 02월,"16,000"
처음 배우는 머신러닝 ,김승연,한빛미디어,2017년 10월,"23,400"
파이썬으로 시작하는 캐글,이시하라 쇼타로,제이펍,2021년 04월,"16,200"
헬스케어 분석을 위한 머신러닝,에듀오닉스 러닝 솔루션스,에이콘출판사,2022년 03월,"22,500"
내 일을 바꾸는 업무 자동화,이태화,프리렉,2020년 06월,"19,800"
파이썬으로 배우는 자료구조 프로그래밍,유석종,휴먼싸이언스,2022년 02월,"25,000"
코딩마법서 파이썬 1권 STONE,오일러,오일러,2021년 04월,"40,500"
파이썬으로 시작하는 코딩,브라이언 칼링,코딩타임,2018년 09월,"18,000"
파이썬 코딩 0교시,줄리 스웨이,프리렉,2021년 04월,"16,200"
컴퓨터비전과 머신러닝,김찬수,광문각,2021년 02월,"26,000"
슬기로운 파이썬생활 데이터 싹쓰리 & 업무자동화,서진수,가치랩스,2020년 11월,"33,000"
생각대로 파이썬 파이썬 첫걸음,전현희,잇플ITPLE,2021년 01월,"20,700"
쉽게 이해되는 파이썬 프로그래밍,유석종,인피니티북스,2022년 02월,"27,000"
파이썬으로 완성하는 비지도 학습 알고리즘,송동근,비제이퍼블릭(BJ퍼블릭),2021년 12월,"30,600"
Python 실습으로 기초부터,이진영,서현사,2017년 08월,"22,000"
파이썬으로 다시 배우는 핵심 고등 수학,타니지리 카오리,위키북스,2019년 11월,"22,500"
파이썬으로 텍스트 분석하기,윤태일,늘봄,2018년 12월,"17,100"
데이터 전처리 대전,모토하시 도모미쓰,한빛미디어,2019년 11월,"27,000"
더 괜찮은 QA가 되기 위한 프랙티컬 테스트 자동화,정상미,프리렉,2018년 09월,"27,000"
파이썬 GUI 프로그래밍 쿡북 2/e,부르크하르트 메이어,에이콘출판사,2018년 04월,"31,500"
이게 진짜 파이썬EASY!,감무철,책밥,2022년 03월,"23,400"
라즈베리파이로 시작하는 핸드메이드 IoT,임근식,비제이퍼블릭(BJ퍼블릭),2019년 09월,"23,400"
코딩의 수학적 기초를 다지는 알고리즘 퍼즐 68,마스이 도시카츠,프리렉,2019년 08월,"19,800"
파이썬,박병기,아티오,2017년 01월,"20,700"
파이썬 네트워크 프로그래밍,서열규,복두출판사,2022년 02월,"28,000"
파이썬 딥러닝으로 시작하는 이상 징후 탐지 (한국어판),박기웅,홍릉,2021년 09월,"37,000"
친절한 딥러닝 수학,다테이시 겐고,한빛미디어,2021년 03월,"25,200"
처음 시작하는 딥러닝,세스 와이드먼,한빛미디어,2020년 08월,"20,700"
프로그래밍 이론과 실습,원정임,한양대학교출판부,2022년 02월,"18,000"
파이썬·케라스로 시작하는 AI기초 ,천상훈,복두출판사,2021년 07월,"15,000"
진짜 코딩하며 배우는 파이썬 바리스타 프로그램 만들기,서민우,앤써북,2020년 08월,"15,930"
실무가 훤히 보이는 머신러닝 & 딥러닝,마창수,책만,2019년 07월,"23,400"
파이썬 프로그래밍 교과서,제니퍼 캠벨,길벗,2019년 04월,"20,700"
Python과 Pygame으로 게임 만들기,알 슈베이가르트,정보문화사,2014년 06월,"20,700"
OpenCV 4를 활용한 머신러닝 입문 2/e,아디타 샤르마,에이콘출판사,2020년 10월,"36,000"
머신러닝 도감,아키바 신야,제이펍,2019년 12월,"23,400"
400제로 배우는 파이썬 입문,김범준,심통,2021년 10월,"25,200"
파이썬을 활용한 지리공간 분석 마스터하기,폴 크릭커드,에이콘출판사,2020년 10월,"36,000"
"한 번 배운 파이썬, 나만의 활용 스킬",이강성,프리렉,2020년 07월,"18,000"
잠자는 코딩 브레인을 깨우는 알고리즘 퍼즐 69,마스이 도시카츠,프리렉,2019년 02월,"19,800"
파이썬으로 배우는 공업수학,김도영,지오북스,2022년 02월,"30,000"
완친파 웹크롤러 대마왕편,가치랩스 기술연구소,한국정보인재개발원,2019년 08월,"26,600"
머신러닝을 위한 파이썬 한 조각,박성호,비제이퍼블릭(BJ퍼블릭),2020년 02월,"21,600"
그림과 함께하는 파이썬 수업,최윤철,생능출판사,2021년 11월,"28,000"
한권으로 파이썬과 드론 날로 먹기 인공지능 편,이현종,잇플ITPLE,2021년 04월,"98,000"
퀀트 전략 파이썬으로 세워라,박준규,비제이퍼블릭(BJ퍼블릭),2019년 04월,"21,600"
한권으로 파이썬과드론 날로먹기 인공지능편,이현종,잇플ITPLE,2021년 09월,"20,700"
캐글 가이드,사카모토 도시유키,동양북스(동양books),2020년 07월,"16,200"
머신러닝 탐구생활,정권우,비제이퍼블릭(BJ퍼블릭),2018년 08월,"24,300"
생활코딩! 파이썬,이고잉,범,2020년 03월,"17,100"
초보자도 간단히 단숨에 배우는 파이썬,조인석,터닝포인트,2020년 04월,"14,220"
파이썬과 NumPy로 배우는 선형대수,이정주,비제이퍼블릭(BJ퍼블릭),2019년 09월,"23,400"
러닝 파이썬 상편,마크 루츠,제이펍,2018년 03월,"34,200"
그로킹 딥러닝,앤드루 트라스크,한빛미디어,2019년 12월,"23,400"
딥러닝 일러스트레이티드,존 크론,시그마프레스,2021년 01월,"36,000"
수학으로 배우는 파이썬,다나카 카즈나리,영진닷컴,2019년 03월,"11,700"
파이썬을 활용한 데이터 길들이기,캐서린 자멀,인사이트(insight),2017년 08월,"29,700"
matplotlib을 이용한 데이터 시각화 프로그래밍,알렉상드르 드베르,에이콘출판사,2015년 01월,"22,500"
파이썬으로 익히는 말랑말랑 알고리즘,김경록,비제이퍼블릭(BJ퍼블릭),2022년 01월,"27,000"
파이썬을 이용한 통계분석,이원우,자유아카데미,2022년 04월,"36,000"
코딩 강화 파이썬,이규호,제이펍,2019년 06월,"17,820"
파이썬의 정석,시바타 보요,루비페이퍼,2021년 03월,"23,400"
인공지능 교과서,이모토 타카시,성안당,2021년 01월,"17,100"
파이썬을 이용한 수치해석,류권규,씨아이알(CIR),2020년 12월,"35,000"
예제로 배우는 자연어 처리 기초,쇼홈 고시,에이콘출판사,2020년 03월,"31,500"
Python Programming 터틀부터 게임 개발까지,이영준,교학사,2019년 03월,"13,500"
Flask 기반의 파이썬 웹 프로그래밍,이지호,제이펍,2016년 05월,"29,700"
러플과 함께하는 파이선 & 햄스터,서성원,삼양미디어,2018년 08월,"14,400"
이공학을 위한 파이썬 프로그래밍,정동호,내하출판사,2020년 03월,"22,000"
코딩 초보자를 위한 데이터 중심의 파이썬 프로그래밍,길준민,인피니티북스,2019년 12월,"22,000"
알고리즘과 파이썬,채진석,정익사,2019년 08월,"27,000"
러닝 파이썬 하편,마크 루츠,제이펍,2018년 03월,"34,200"
뇌를 자극하는 파이썬 3 ,박상현,한빛미디어,2016년 02월,"22,500"
텐서플로 첫걸음,조르디 토레스,한빛미디어,2016년 08월,"14,400"
수학적 모델링 콘텐츠 파이썬 1,김준석,지오북스,2021년 09월,"11,000"
클린 파이썬,수닐 카필,에이콘출판사,2021년 04월,"19,800"
OpenCV 4 마스터 3/e,로이 실크롯,에이콘출판사,2020년 07월,"27,000"
Python 3 START-UP,신윤환,북스홀릭퍼블리싱,2018년 06월,"22,500"
알기 쉬운 인공지능 with 파이썬,김현정,인피니티북스,2021년 09월,"22,000"
퍼즐로 배우는 알고리즘 with 파이썬,SRINI DEVADAS,영진닷컴,2019년 09월,"18,000"
컴퓨터 사이언스 부트캠프 with 파이썬,양태환,길벗,2018년 02월,"21,600"
데이터 사이언스 Hard Carry,신윤환,생능출판사,2021년 06월,"29,000"
소프트웨어와 문제해결,조대제,인피니티북스,2019년 12월,"20,000"
Pandas로 하는 데이터 과학 2/e,마이클 헤이트,에이콘출판사,2018년 09월,"31,500"
그림으로 배우는 딥러닝,앤드류 글래스너,에이콘출판사,2022년 05월,"54,000"
알파(R과 Python)를 활용한 인공지능 챗봇 14,황윤찬,스토리조아(STORYJOA),2020년 12월,"20,700"
차근차근 파이썬 코딩 실습 (기본편),류지훈,좋은땅,2020년 07월,"22,500"
한입에 웹 크롤링,김경록,비제이퍼블릭(BJ퍼블릭),2018년 09월,"23,400"
한 권으로 배우는 파이썬 기초 & 알고리즘 사고법,아리스티데스 보우라스,제이펍,2018년 07월,"27,000"
기초부터 배우는 인공지능 ,오다카 토모히로,성안당,2021년 03월,"16,200"
암호 해킹으로 배우는 파이썬의 기초,알 스웨이가트,에이콘출판사,2019년 07월,"31,500"
파이썬으로 풀어보는 수학 ,아미트 사하,에이콘출판사,2016년 06월,"22,500"
파이썬을 활용한 금융 분석 ,이브 힐피시,한빛미디어,2016년 06월,"37,800"
줄리아를 생각하다,벤 로언스,한빛미디어,2020년 04월,"27,000"
파이썬과 함께 하는 수학 어드벤처,피터 파렐,에이콘출판사,2020년 01월,"27,000"
파이썬을 활용한 스파크 프로그래밍,제프리 에이븐,에이콘출판사,2019년 08월,"27,000"
파이썬 실무 프로그래밍,조훈,위키북스,2017년 03월,"40,500"
파이썬으로 시작하는 머신러닝+딥러닝 ,강지영,아이리포,2022년 05월,"19,800"
텐서플로 2로 배우는 금융 머신러닝,이사야 헐,에이콘출판사,2021년 12월,"27,000"
파이썬을 활용한 데이터 분석과 응용,이성건,자유아카데미,2021년 06월,"30,000"
텐서플로로 배우는 딥러닝,솔라리스,영진닷컴,2018년 11월,"23,400"
Python 파이썬 2학년 스크래핑의 구조,모리 요시나오,성안당,2021년 11월,"15,300"
OpenCV · Python 머신러닝 · 딥러닝 프로그래밍,김동근,가메출판사,2022년 03월,"23,400"
인공지능과 함께 하는 파이썬,복거철,성진미디어,2021년 11월,"15,000"
Raptor와 Python으로 배우는 소프트웨어 기초설계,하옥균,연두에디션,2021년 11월,"22,000"
프로그래머를 위한 파이썬,데인 힐라드,제이펍,2020년 11월,"22,500"
파이썬 Jupyter Notebook 실전 입문  ,이케우치 타카히로,터닝포인트,2018년 06월,"22,500"
데이터 과학 트레이닝 북,츠카모토 쿠니타카,인사이트(insight),2020년 12월,"29,700"
"코딩셰프의 3분 딥러닝, 케라스맛",김성진,한빛미디어,2018년 01월,"27,000"
PySpark 배우기,토마스 드라바스,에이콘출판사,2017년 10월,"27,000"
파이썬 데이터 전처리 및 탐색 라이브러리,허진경,BOOKK(부크크),2021년 09월,"29,400"
AI CODING,정락현,코쿤아우트,2021년 04월,"27,000"
"파이썬을 이용한 빅데이터 수집, 분석과 시각화 ",이원하,비팬북스(러닝스페이스),2017년 06월,"21,600"
안전한 인공지능 시스템을 위한 심층 신경망 강화,케이티 워,한빛미디어,2020년 12월,"21,600"
핸즈온 머신러닝 · 딥러닝 알고리즘 트레이딩,스테판 젠슨,에이콘출판사,2020년 07월,"38,700"
파이썬으로 만드는 암호화폐 자동 거래 시스템,박재현,위키북스,2018년 04월,"22,500"
파이썬 코딩 알고리듬,오상문,도수서원,2017년 09월,"10,800"
슬기로운 파이썬 트릭,댄 베이더,인사이트(insight),2019년 01월,"18,000"
입문자를 위한 파이썬 프로그래밍,김상근,북스홀릭퍼블리싱,2021년 08월,"19,800"
자연어 처리 쿡북 with 파이썬,크리슈나 바브사,에이콘출판사,2019년 01월,"27,000"
파이썬 성능 높이기 2/e,가브리엘레 라나로,에이콘출판사,2018년 11월,"25,200"
가장 쉬운 파이썬 입문교실,오오사와 후미타카,영진닷컴,2018년 07월,"15,300"
The Python 3 Standard Library by Example,더그 헬먼,에이콘출판사,2020년 06월,"52,200"
파이썬 네트워킹 마스터 2/e,에릭 추,에이콘출판사,2019년 10월,"31,500"
엔지니어를 위한 파이썬,나카쿠키 켄지,제이펍,2017년 11월,"25,200"
씽크 파이썬 Think Python,앨런 다우니,길벗,2017년 10월,"19,800"
이제 시작이야! 컴퓨팅 사고력으로 인공지능까지 파이썬,전수진,연두에디션,2022년 01월,"23,000"
나혼자 파이썬,이창현,디지털북스,2020년 12월,"13,500"
양자 컴퓨팅 : 이론에서 응용까지,잭 히더리,에이콘출판사,2020년 09월,"31,500"
차근차근 파이썬 코딩 실습 (연구활용 대기과학편),류지훈,좋은땅,2020년 07월,"22,500"
누구나 파이썬 Python 너도 데이터 가지고 놀 수 있어!,민형기,잇플ITPLE,2020년 01월,"16,200"
아두이노와 피지컬 컴퓨팅 with 파이썬,이원규,교학사,2018년 12월,"14,400"
Python Cookbook ,데이비드 비즐리,인피니티북스,2014년 02월,"34,200"
파이썬 Python 2학년,모리 요시나오,성안당,2021년 05월,"15,300"
딥러닝에 목마른 사람들을 위한 PyTorch,장지수,비제이퍼블릭(BJ퍼블릭),2019년 06월,"21,600"
파이썬으로 움직이는 EV3 로봇,황일규,복두출판사,2021년 07월,"22,000"
한권으로 파이썬 데이터 사이언스 입문 AtoZ,문성혁,잇플ITPLE,2020년 01월,"26,100"
파이썬 3로 컴퓨터 비전 다루기,사우랍 카푸,에이콘출판사,2018년 01월,"21,600"
The Hundred-Page Machine Learning Book,안드리 부르코프,에이콘출판사,2019년 08월,"22,500"
손에 잡히는 판다스,문용준,비제이퍼블릭(BJ퍼블릭),2018년 11월,"28,800"
파이썬으로 시작하는 컴퓨터 프로그래밍,조동영,한빛아카데미,2022년 02월,"25,000"
Python으로 쉽게 배우는 통계 프로그래밍,김재희,자유아카데미,2021년 05월,"28,000"
"머신 러닝을 다루는 기술 with 파이썬, 사이킷런",마크 페너,길벗,2020년 06월,"30,600"
CODING BASICS PYTHON,김상민,REXmedia(렉스미디어),2022년 02월,"18,000"
프로그래머를 위한 Python® 파이썬,폴 데이텔,성안당,2021년 12월,"34,200"
한권으로 개발자가 원하던 파이썬 심화 A to Z,문용준,잇플ITPLE,2019년 11월,"28,800"
스타트 파이썬,황재호,(주)코딩스쿨,2018년 09월,"17,100"
처음 시작하는 파이썬 프로그래밍,김동근,가메출판사,2018년 03월,"16,200"
RESTful 파이썬 웹 서비스 제작,가스통 힐라,에이콘출판사,2017년 07월,"31,500"
머신러닝을 이용한 데이터 분석,허진경,BOOKK(부크크),2021년 08월,"35,000"
이젠 나도! 파이썬,이지선,성안당,2019년 10월,"22,500"
파이썬 연습,김기용,그린 (윤덕우),2022년 02월,"26,000"
누구나 파이썬,전익진,디스커버리미디어,2022년 01월,"15,750"
파이썬과 대스크를 활용한 고성능 데이터 분석,제시 대니얼,한빛미디어,2020년 10월,"25,200"
한 권으로 끝내는 딥러닝 텐서플로,바라스 람순다르,한빛미디어,2018년 11월,"21,600"
엑셀Ⅹ파이썬 코드 레시피 125,카네히로 카즈미,AK(에이케이 커뮤니케이션즈),2022년 05월,"23,750"
파이썬으로 배우는 과학계산,김웅태,서울대학교출판문화원,2021년 12월,"35,000"
코딩수학 파이썬 1,김상권,지오아카데미,2021년 09월,"17,000"
파이썬으로 배우는 소프트웨어 디자인,김홍준,인피니티북스,2020년 02월,"20,000"
파이썬으로 배우는 응용 텍스트 분석,벤자민 벵포트,제이펍,2019년 11월,"24,300"
파이썬으로 배우는 Anti-Virus 구조와 원리,최원혁,비제이퍼블릭(BJ퍼블릭),2017년 09월,"30,600"
워드프레스 테마 직접 만드는 개발자 되기,김경호,스포트라잇북,2017년 05월,"24,300"
알 스웨이가트의 파이썬 프로젝트,알 스웨이가트,제이펍,2022년 02월,"25,200"
파이썬 프로그래밍 길라잡이,장혜진,홍릉,2022년 02월,"29,000"
파이썬과 코랩기반의 OpenCV로 배우는 영상처리,고병철,그린,2022년 01월,"20,000"
파이썬 딥러닝 프로젝트,Matthew Lamons,홍릉과학출판사,2021년 11월,"39,000"
파이썬으로 데이터 마이닝 시작하기,나단 그리넬치,에이콘출판사,2019년 12월,"18,900"
파이썬으로 풀어보는 회귀분석,루카 마싸론,에이콘출판사,2018년 12월,"27,000"
파이썬 인 프랙티스,오현석,위키북스,2014년 09월,"25,200"
파이썬과 함께 배우는 신호와 시스템,남승현,홍릉,2020년 03월,"28,000"
파이썬 프로그래밍,John V. Guttag,홍릉과학출판사,2019년 02월,"29,000"
깐깐하게 배우는 파이썬 3,제드 쇼,인사이트(insight),2019년 01월,"19,800"
쉽게 배우는 파이썬 with 컴퓨팅 사고력,황혜정,글로벌,2017년 08월,"18,000"
함수형 파이썬 프로그래밍,오현석,에이콘출판사,2017년 02월,"27,000"
개념을 잡아주는 프로그래밍 정석,제니퍼 캠벨,에이콘출판사,2010년 05월,"22,500"
10대를 위한 파이썬 교과서,아리스티데스 보우라스,교학사,2020년 01월,"19,800"
Hello Coding 한입에 쏙 파이썬,김왼손,한빛미디어,2018년 06월,"13,500"
핵심코어! 파이썬 프로그래밍,최희식,인피니티북스,2022년 03월,"23,000"
마케터의 파이썬,정희석,e비즈북스,2022년 01월,"19,800"
Hello 실전 파이썬 프로그래밍 world,조상철,혜지원,2022년 01월,"19,800"
파이썬과 파이게임,정선호,그린,2020년 02월,"28,000"
머신 러닝 부트캠프 with 파이썬 ,주식회사 시스템 계획 연구소,길벗,2018년 05월,"19,800"
파이썬을 여행하는 히치하이커를 위한 안내서 ,케네스 레이츠,인사이트(insight),2017년 10월,"24,300"
파이썬 프로그래밍으로 지루한 작업 자동화하기,알 스웨이가트,스포트라잇북,2019년 01월,"27,000"
케라스로 완성하는 인공 신경망 기본기,이준,에이콘출판사,2022년 01월,"22,500"
모두를 위한 파이썬,Cay Horstmann,한티에듀,2020년 03월,"35,000"
파이썬 텍스트 코딩 워크북,정재웅,삼양미디어,2022년 05월,"4,500"
파이썬 함수 사용 설명서,권판검,글로벌,2021년 08월,"19,800"
쉽게 배우는 파이썬,김은옥,삼양미디어,2021년 07월,"16,200"
파이썬을 이용한 공학 프로그래밍,손재범,성안당,2020년 03월,"22,500"
문과생을 위한 파이썬,홍성인,인디라이프,2020년 07월,"16,650"
파이썬을 이용한 컴퓨터 과학 입문,로버트 세지윅,길벗,2019년 12월,"43,200"
파이썬으로 배우는 영상처리,Sandipan Dey,홍릉과학출판사,2020년 01월,"33,000"
파이썬과 수치 해석 2/e,로버트 요한슨,에이콘출판사,2019년 08월,"45,000"
빠르게 활용하는 파이썬 3.6 프로그래밍,신호철,위키북스,2017년 07월,"27,000"
모의 침투 입문자를 위한 파이썬 3 활용,오동진,에이콘출판사,2020년 02월,"22,500"
자연어 처리와 컴퓨터 언어학,바르가브 스리니바사 디지칸,에이콘출판사,2019년 06월,"27,000"
파이썬 자연어 처리의 이론과 실제,잘라지 트하나키,에이콘출판사,2018년 06월,"31,500"
파이썬 프로그래밍,박영권,시대인,2022년 01월,"19,800"
파이썬 고급 딥러닝,Ivan Vasilev,홍릉과학출판사,2021년 11월,"39,000"
고전 컴퓨터 알고리즘 인 파이썬,데이비드 코펙,한빛미디어,2019년 12월,"22,500"
파이썬 프로그래밍,조인석,혜지원,2019년 05월,"24,300"
한 권으로 끝내는 파이썬,김명호,에듀웨이,2019년 05월,"16,200"
머신러닝 실무 프로젝트,나카야마 신타,한빛미디어,2018년 06월,"16,200"
파이썬으로 배우는 웹 크롤러,박정태,정보문화사,2018년 01월,"22,500"
파이썬과 OpenCV로 실습하며 배우는 영상처리,김성영,카오스북,2021년 03월,"23,000"
딥러닝 AI프로젝트 실사례,산타누 파타나야크,홍릉,2020년 03월,"29,000"
파이썬으로 배우는 머신러닝 입문,오제키 마사유키,성안당,2021년 04월,"17,820"
파이썬 해킹프로그래밍,한상준,(주)박영사,2019년 03월,"14,000"
파이썬으로 배우는 인공지능,프라틱 조쉬,에이콘출판사,2017년 05월,"36,000"
복잡계와 데이터 과학  ,앨런 B. 다우니,홍릉과학출판사,2016년 09월,"22,000"
파이썬과 Jupyter Notebook ,시릴 로산트,에이콘출판사,2016년 03월,"18,000"
파이썬을 활용한 네트워크 프로그래밍,파루크 사커,에이콘출판사,2015년 01월,"27,000"
python으로 배우는 OpenCV 프로그래밍,김동근,가메출판사,2018년 08월,"23,400"
헬로! 파이썬 프로그래밍,워렌 산데,위키북스,2015년 09월,"24,300"
"만들면서 배우는 파이썬 하나, 둘, 셋",나인섭,연두에디션,2021년 12월,"20,000"
케라스 딥러닝 응용,리테쉬 바그와트,에이콘출판사,2020년 06월,"31,500"
파이썬으로 배우는 수치 데이터 처리 ,김동근,가메출판사,2020년 03월,"19,800"
"파이썬 쉽게, 더 쉽게",츠지 신고,제이펍,2018년 12월,"23,400"
파이썬으로 만드는 서버리스 애플리케이션,잘렘 라지 로히트,에이콘출판사,2018년 10월,"22,500"
알파회계 ,김태식,와이북스,2017년 09월,"15,000"
파이썬 프로그래밍 개론,데이비드 슈나이더,에이콘출판사,2016년 11월,"31,500"
순서도로 배우는 파이썬,김종훈,다올미디어,2016년 06월,"15,300"
데이터 분석을 위한 파이썬,오경선,인피니티북스,2022년 03월,"25,000"
손에 잡히는 파이썬,문용준,비제이퍼블릭(BJ퍼블릭),2018년 03월,"39,600"
파이썬으로 배우는 데이터 과학 입문과 실습,데이비 실린,위키북스,2018년 02월,"24,300"
따라하면서 배우는 파이썬,이상철,복두출판사,2021년 12월,"13,000"
Python을 이용한 데이터 분석과 시각화,김계수,한나래,2020년 10월,"28,000"
프로그래머 첫걸음,코리 알트호프,한빛미디어,2018년 01월,"17,820"
왕초보를 위한 파이썬 프로그래밍 입문서,Dave Lee,아티오,2017년 07월,"10,800"
스파르타! 파이썬 포렌식,쳇 호스머,비제이퍼블릭(BJ퍼블릭),2015년 04월,"25,200"
한번에 이해되는 파이썬 기초 실습,고응남,인피니티북스,2022년 04월,"25,000"
파이썬으로 구현하는 AI 이해와 활용,박상배,일진사,2022년 03월,"19,800"
프로젝트 예제로 배우는 OpenCV 4,Escriva,홍릉,2021년 05월,"29,000"
텐서플로로 하는 딥러닝 기초와 응용 ,파올로 갈리오니,에이콘출판사,2020년 11월,"27,000"
나만의 스마트워크 환경 만들기,박찬성,비제이퍼블릭(BJ퍼블릭),2020년 05월,"24,750"
파이썬답게 코딩하기,심경섭,비제이퍼블릭(BJ퍼블릭),2018년 04월,"18,000"
파이썬 399 Step,문혜영,아이콕스(iCox),2022년 03월,"20,900"
알고리즘으로 생각하기,양성봉,생능출판사,2022년 01월,"23,000"
파이썬 객체지향 프로그래밍,성백균,홍릉,2021년 02월,"25,000"
"iPhone/Android 애플리케이션 개발자를 위한 머신러닝, 딥러닝 실전입문",후루카와 히데카즈,터닝포인트,2019년 12월,"29,700"
파이썬을 활용한 크롤러 개발과 스크레이핑 입문,카토 카츠야,위키북스,2019년 07월,"27,000"
텐서플로를 이용한 고급 딥러닝,산타누 파타나야크,에이콘출판사,2019년 02월,"31,500"
처음 만나는 파이썬,가마타 마사히로,제이펍,2017년 03월,"19,800"
R과 파이썬 머신러닝 어프로치,강병서,한경사,2020년 05월,"35,000"
컴맹을 위한 파이썬,정덕,디지털북스,2018년 07월,"10,800"
코딩영어,김용찬,원펀치,2022년 04월,"14,400"
파이썬 Phython,김영천,기한재,2020년 02월,"25,000"
텐서플로를 활용한 머신러닝,니샨트 수클라,한빛미디어,2019년 02월,"27,000"
파이썬 동시성 프로그래밍,엘리엇 포브스,에이콘출판사,2018년 09월,"27,000"
알기쉬운 파이썬,시바타 아츠시,광문각,2018년 05월,"23,000"
러닝 텐서플로,톰 호프,한빛미디어,2018년 05월,"20,700"
Black Hat Python,저스틴 지이츠,에이콘출판사,2015년 04월,"22,500"
파이썬과 주피터 노트북 기반의 SAS Viya,강봉주,자유아카데미,2021년 10월,"33,000"
당신이 지금 알아야 할 빅4 클라우드 머신러닝,이영호,비제이퍼블릭(BJ퍼블릭),2020년 03월,"23,400"
72시간 파이썬 정복,이승현,광문각,2019년 07월,"24,000"
파이썬 라이브러리로 배우는 딥러닝 입문과 응용,발렌티노 조카,제이펍,2018년 12월,"25,200"
딥러닝의 정석,니킬 부두마,한빛미디어,2018년 02월,"22,500"
개발자를 위한 파이썬,윤웅식,한빛미디어,2017년 11월,"18,000"
Python Design Patterns ,제나디 즐로빈,에이콘출판사,2014년 03월,"10,800"
파이썬 자료구조,김병호,홍릉,2021년 07월,"15,000"
파이썬 코딩의 기초,조연상,상학당,2021년 07월,"32,000"
친절한 실전 딥러닝 수업,김찬란,비제이퍼블릭(BJ퍼블릭),2020년 03월,"19,800"
빅데이터 시각화,제임스 밀러,에이콘출판사,2019년 11월,"25,200"
Let’s Start Coding with Raptor & Python,김충석,앤아이컴즈,2019년 08월,"24,000"
파이썬 핵심 개발자들과의 인터뷰,마이크 드리스콜,터닝포인트,2019년 01월,"16,920"
